Date,Product ID,Product Name,Units Sold,Total Revenue (USD)
3/9/2024,1018,Fitbit Versa 3,3,689.85
3/9/2024,1013,Apple iPad Pro,2,1598
3/10/2024,1001,Apple iPhone 12,3,2697
3/10/2024,1002,Samsung Galaxy S21,2,1599.98
3/10/2024,1003,Google Pixel 5,4,2796
3/10/2024,1004,Dell XPS 13,1,1299
3/10/2024,1006,MacBook Pro,2,2998
3/10/2024,1008,LG C1 OLED,3,5397
3/10/2024,1010,Sony WH-1000XM4,1,349.99
3/11/2024,1001,Apple iPhone 12,3,2697
3/11/2024,1002,Samsung Galaxy S21,2,1599.98
3/11/2024,1004,Dell XPS 13,1,1299
3/11/2024,1005,HP Spectre x360,2,2399.98
3/11/2024,1006,MacBook Pro,2,2998
3/11/2024,1007,Samsung QLED Q90T,3,5999.97
3/12/2024,1001,Apple iPhone 12,2,1798
3/12/2024,1002,Samsung Galaxy S21,3,2399.97
3/12/2024,1004,Dell XPS 13,1,1299
3/12/2024,1005,HP Spectre x360,2,2399.98
3/12/2024,1006,MacBook Pro,2,2998
3/12/2024,1007,Samsung QLED Q90T,1,1799.99
3/13/2024,1047,Lenovo Legion 5,2,2598
3/13/2024,1048,ASUS ROG Zephyrus G14,1,1499.99
3/13/2024,1049,Acer Swift 3,3,2097
3/14/2024,1011,Bose QuietComfort 35 II,2,598
3/14/2024,1036,Nintendo Switch,1,299.99
3/14/2024,1020,Canon EOS R5,3,10497
3/14/2024,1019,Sony Alpha a7 III,2,3998
3/14/2024,1038,Netgear Nighthawk AX12,1,299.99
3/14/2024,1040,Western Digital My Passport,4,319.96
3/14/2024,1010,Sony WH-1000XM4,2,699.98
3/15/2024,1044,Sony Xperia 1 III,4,4396
3/15/2024,1045,OnePlus 9 Pro,2,1799.98
3/15/2024,1046,Xiaomi Mi 11 Ultra,3,3597
3/16/2024,1047,Lenovo Legion 5,2,2598
3/16/2024,1048,ASUS ROG Zephyrus G14,1,1499.99
3/16/2024,1049,Acer Swift 3,3,2097
3/17/2024,1011,Bose QuietComfort 35 II,2,598
3/17/2024,1036,Nintendo Switch,1,299.99
3/17/2024,1020,Canon EOS R5,3,10497
3/17/2024,1019,Sony Alpha a7 III,2,3998
3/17/2024,1038,Netgear Nighthawk AX12,1,299.99
3/17/2024,1040,Western Digital My Passport,4,319.96
3/17/2024,1010,Sony WH-1000XM4,2,699.98
3/18/2024,1044,Sony Xperia 1 III,4,4396
3/18/2024,1045,OnePlus 9 Pro,2,1799.98
3/18/2024,1046,Xiaomi Mi 11 Ultra,3,3597
3/19/2024,1047,Lenovo Legion 5,2,2598
3/19/2024,1048,ASUS ROG Zephyrus G14,1,1499.99
3/19/2024,1049,Acer Swift 3,3,2097
3/20/2024,1011,Bose QuietComfort 35 II,2,598
3/20/2024,1036,Nintendo Switch,1,299.99
3/20/2024,1020,Canon EOS R5,3,10497
3/20/2024,1019,Sony Alpha a7 III,2,3998
3/21/2024,1011,Bose QuietComfort 35 II,2,598
3/21/2024,1036,Nintendo Switch,1,299.99
3/21/2024,1020,Canon EOS R5,3,10497
3/21/2024,1019,Sony Alpha a7 III,2,3998
3/22/2024,1038,Netgear Nighthawk AX12,1,299.99
3/23/2024,1040,Western Digital My Passport,4,319.96
3/24/2024,1010,Sony WH-1000XM4,2,699.98
3/25/2024,1044,Sony Xperia 1 III,4,4396
3/25/2024,1045,OnePlus 9 Pro,2,1799.98
3/25/2024,1046,Xiaomi Mi 11 Ultra,3,3597
3/26/2024,1047,Lenovo Legion 5,2,2598
3/26/2024,1048,ASUS ROG Zephyrus G14,1,1499.99
3/26/2024,1049,Acer Swift 3,3,2097
3/27/2024,1047,Lenovo Legion 5,2,2598
3/27/2024,1048,ASUS ROG Zephyrus G14,1,1499.99
3/27/2024,1049,Acer Swift 3,3,2097
3/28/2024,1011,Bose QuietComfort 35 II,2,598
3/28/2024,1036,Nintendo Switch,1,299.99
3/28/2024,1020,Canon EOS R5,3,10497
3/28/2024,1019,Sony Alpha a7 III,2,3998
3/29/2024,1038,Netgear Nighthawk AX12,1,299.99
3/30/2024,1040,Western Digital My Passport,4,319.96
3/31/2024,1010,Sony WH-1000XM4,2,699.98
