Date,Product ID,Product Name,Units Sold,Total Revenue (USD)
2/20/2024,1013,Apple iPad Pro,3,2397
2/20/2024,1014,Samsung Galaxy Tab S7,2,1299.98
2/20/2024,1015,Microsoft Surface Pro 7,1,899
2/20/2024,1020,Canon EOS R5,2,6998
2/20/2024,1021,Nikon Z6,1,1799.99
2/21/2024,1034,Sony PlayStation 5,2,999.98
2/21/2024,1035,Microsoft Xbox Series X,1,499
2/21/2024,1036,Nintendo Switch,3,899.97
2/21/2024,1037,Google Nest Wifi,2,338
2/21/2024,1038,Netgear Nighthawk AX12,1,299.99
2/21/2024,1040,Western Digital My Passport,4,319.96
2/21/2024,1041,Seagate Backup Plus Slim,2,179.98
2/21/2024,1042,Samsung T5 Portable SSD,3,389.97
2/21/2024,1043,Dell UltraSharp U2720Q,1,599
2/21/2024,1044,Sony Xperia 1 III,2,2198
2/22/2024,1001,Apple iPhone 12,3,2697
2/22/2024,1002,Samsung Galaxy S21,2,1599.98
2/22/2024,1003,Google Pixel 5,1,699
2/22/2024,1006,MacBook Pro,1,1499
2/22/2024,1010,Sony WH-1000XM4,2,699.98
2/22/2024,1013,Apple iPad Pro,3,2397
2/22/2024,1014,Samsung Galaxy Tab S7,2,1299.98
2/22/2024,1015,Microsoft Surface Pro 7,1,899
2/22/2024,1020,Canon EOS R5,2,6998
2/22/2024,1021,Nikon Z6,1,1799.99
2/23/2024,1034,Sony PlayStation 5,2,999.98
2/23/2024,1035,Microsoft Xbox Series X,1,499
2/23/2024,1036,Nintendo Switch,3,899.97
2/23/2024,1037,Google Nest Wifi,2,338
2/23/2024,1038,Netgear Nighthawk AX12,1,299.99
2/23/2024,1001,Apple iPhone 12,3,2697
2/23/2024,1002,Samsung Galaxy S21,2,1599.98
2/23/2024,1003,Google Pixel 5,1,699
2/23/2024,1006,MacBook Pro,1,1499
2/24/2024,1010,Sony WH-1000XM4,2,699.98
2/24/2024,1013,Apple iPad Pro,3,2397
2/24/2024,1014,Samsung Galaxy Tab S7,2,1299.98
2/24/2024,1015,Microsoft Surface Pro 7,1,899
2/24/2024,1020,Canon EOS R5,2,6998
2/24/2024,1021,Nikon Z6,1,1799.99
2/25/2024,1034,Sony PlayStation 5,2,999.98
2/25/2024,1035,Microsoft Xbox Series X,1,499
2/25/2024,1001,Apple iPhone 12,3,2697
2/25/2024,1002,Samsung Galaxy S21,2,1599.98
2/26/2024,1003,Google Pixel 5,1,699
2/26/2024,1006,MacBook Pro,1,1499
2/26/2024,1010,Sony WH-1000XM4,2,699.98
2/26/2024,1013,Apple iPad Pro,3,2397
2/26/2024,1014,Samsung Galaxy Tab S7,2,1299.98
2/26/2024,1015,Microsoft Surface Pro 7,1,899
2/26/2024,1020,Canon EOS R5,2,6998
2/26/2024,1021,Nikon Z6,1,1799.99
2/26/2024,1034,Sony PlayStation 5,2,999.98
2/26/2024,1035,Microsoft Xbox Series X,1,499
2/26/2024,1036,Nintendo Switch,3,899.97
2/26/2024,1037,Google Nest Wifi,2,338
2/26/2024,1038,Netgear Nighthawk AX12,1,299.99
2/26/2024,1040,Western Digital My Passport,4,319.96
2/26/2024,1041,Seagate Backup Plus Slim,2,179.98
2/26/2024,1042,Samsung T5 Portable SSD,3,389.97
2/27/2024,1043,Dell UltraSharp U2720Q,1,599
2/27/2024,1044,Sony Xperia 1 III,2,2198
2/27/2024,1045,OnePlus 9 Pro,1,899.99
2/27/2024,1046,Xiaomi Mi 11 Ultra,3,3597
2/27/2024,1047,Lenovo Legion 5,2,2598
2/27/2024,1048,ASUS ROG Zephyrus G14,1,1499.99
2/28/2024,1007,Samsung QLED Q90T,2,3999.98
2/28/2024,1008,LG C1 OLED,1,1799
2/28/2024,1009,Sony Bravia XR A90J,3,7497
2/28/2024,1011,Bose QuietComfort 35 II,2,598
2/28/2024,1012,Apple AirPods Pro,1,249
2/28/2024,1016,Apple Watch Series 6,3,1197
2/28/2024,1017,Samsung Galaxy Watch 3,2,699.98
2/28/2024,1018,Fitbit Versa 3,1,229.95
2/28/2024,1021,Nikon Z6,2,3599.98
2/29/2024,1004,Dell XPS 13,2,2598
2/29/2024,1005,HP Spectre x360,1,1199.99
2/29/2024,1006,MacBook Pro,3,4497
2/29/2024,1007,Samsung QLED Q90T,2,3999.98
2/29/2024,1008,LG C1 OLED,1,1799
2/29/2024,1009,Sony Bravia XR A90J,3,7497
2/29/2024,1010,Sony WH-1000XM4,2,699.98
2/29/2024,1011,Bose QuietComfort 35 II,1,299
2/29/2024,1012,Apple AirPods Pro,3,747
2/29/2024,1013,Apple iPad Pro,2,1598
2/29/2024,1014,Samsung Galaxy Tab S7,1,649.99
